TEMP:23.4 HUM:50.1
TEMP:22.8 HUM:48.7
TEMP:24.1 HUM:52.3
TEMP:23.9 HUM:49.8
TEMP:21.7 HUM:46.5
TEMP:25.0 HUM:55.2
TEMP:22.4 HUM:47.9
TEMP:23.1 HUM:51.4
TEMP:26.3 HUM:60.8
TEMP:24.7 HUM:54.1
TEMP:23.6 HUM:50.9
TEMP:22.9 HUM:49.2
TEMP:25.4 HUM:56.3
TEMP:21.9 HUM:45.8
TEMP:24.3 HUM:52.7
TEMP:23.2 HUM:50.0
TEMP:26.7 HUM:61.4
TEMP:25.8 HUM:57.2
TEMP:22.1 HUM:46.9
TEMP:23.7 HUM:51.5
TEMP:24.9 HUM:55.0
TEMP:23.0 HUM:49.6
TEMP:22.6 HUM:47.5
TEMP:25.2 HUM:56.0
TEMP:24.5 HUM:53.6
TEMP:23.8 HUM:51.0
TEMP:21.8 HUM:44.7
TEMP:26.1 HUM:59.8
TEMP:24.0 HUM:52.1
TEMP:22.3 HUM:48.2
